 Energy [J/mol],Critical Geometry,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46,
  10000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  11000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  12000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  13000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  14000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  15000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  16000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  17000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  18000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
  19000.00, -1,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,0.00000000000000000000E+00,
